ID_ARESTA,SOURCE,TARGET,COST
40217,29989,29917,0.000640243
43348,34477,34478,6.31272e-005
44504,31682,29786,0.00124515
44710,6362,4172,0.000113899
45010,1770,1749,0.000170143
45701,13562,26853,0.00326165
45952,35769,27806,0.00363787
46809,36382,36133,0.000169433
47563,12682,36832,0.0018269
48372,36327,37254,7.02182e-005
49089,27636,27678,0.000164016
50494,20279,36144,0.000936567
51304,17120,38420,0.00270316
51604,38557,38551,0.00243239
52995,37086,8127,0.00767558
54816,5097,39917,8.52021e-005
2589,3334,3335,0.000270684
3790,4756,4757,0.000237449
4755,5794,5795,0.000496503
5524,6543,6544,0.000130788
8638,9792,3170,0.000761779
9497,10688,10689,0.0016844
10540,11609,11610,0.00119257
10662,11719,10688,0.000757077
11327,12362,12363,0.000102253
11500,12532,12533,0.00085004
12713,11386,13655,0.00406154
15118,15609,15722,0.00078178
15187,15780,15779,0.000276564
15568,16115,4168,0.000270958
17217,17702,17703,0.000458428
17926,18323,18324,0.00100021
18138,5819,18528,0.000458743
20059,20105,9131,0.0016612
21902,21596,21632,0.00116996
22606,22201,22227,0.00224591
23020,22547,22548,0.000658223
24221,5842,23379,0.000162907
24808,4485,4824,0.000559571
27012,5810,25299,0.000640622
27269,1885,25418,0.000405587
29867,11840,26977,8.45e-005
31206,26478,27858,0.000159308
31738,474,661,0.000116364
32251,2347,6774,0.000410667
32576,28627,28597,0.00011204
36416,30764,30765,0.00209312
37598,31382,741,0.000274106
38136,16497,31630,0.000230185
38137,31630,16499,6.45155e-005
38138,16499,31631,0.00168916
38139,31632,31633,0.00166453
38140,16484,31632,0.00110533
38141,273,17718,0.00111231
38142,17718,17721,0.00214612
38143,6335,3359,0.00152883
38144,24478,6335,0.00152997
38145,30882,24479,0.000378432
38146,2440,324,0.000362478
38147,31634,31635,0.00036317
38148,14227,31636,0.000444453
38149,31637,31638,0.000423456
38150,29783,2445,0.000496822
38151,2441,323,0.000366263
38152,29778,31639,0.000287606
38153,31639,17726,0.000764237
38154,323,31634,8.93647e-005
38155,31635,7435,9.67708e-005
38156,7435,21747,0.00179164
38157,21747,7393,0.00111404
38158,7393,5505,0.00106745
38159,5505,7388,0.00135137
38160,7388,3402,0.00205012
38161,16485,16490,0.000419462
38162,16490,4434,0.000598406
38163,4434,19205,0.000909006
38164,12618,920,0.000831924
38165,474,31640,0.000150827
38166,31640,661,0.000109949
38167,8765,14764,0.00134353
38168,14764,31641,0.00130049
38169,5875,6322,0.000165267
38170,6322,726,0.0039092
38171,726,14919,0.00192088
38172,14919,31157,0.000798426
38173,31157,31642,0.00372202
38174,31642,31158,0.00372222
38175,31158,727,0.00271858
38176,727,14978,0.00118541
38177,14978,6323,0.00272728
38178,5876,3598,0.00132795
38179,29785,28161,0.00127497
38180,25315,14803,0.00105189
38181,14803,14861,0.000759941
38182,14861,14850,0.00428348
38183,14850,22326,0.00246586
38184,31643,14754,0.000213913
